cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,1,1,0,1,3,1,0,0,0,6,4,3,2,2,4,2,3,14,5,0,0,2,7,6,6,10,10,29,59,0,12,3,0,14,165,0.0885754593834835,0.2358247375000559,0.138063196776851,1.1343385937359975,-0.9835224072124782,0.9950999447864702,0.1670335976554624,1.921851521683652,0.1951344531136882,0.6271244232104356,1.331236926794226,1.2748508248279635,1.2932207907604727,0.9199619077422404
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,3,2,4,4,3,14,9,0,0,1,4,4,8,9,10,29,57,0,26,35,4,13,68,-0.6464588711684852,0.8424975802867148,0.459680708649977,0.5855590360999452,1.882225915988046,-0.2545563774178646,-0.2830714050375247,0.5697033488647656,-0.7400899018447948,-0.3177601311279244,-0.5739024984151286,-0.6100655194218224,0.5553116206553791,1.569856557840509
0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,1,3,1,1,1,2,1,3,1,0,0,0,0,0,3,3,2,4,2,3,14,13,10,0,0,7,4,6,10,10,29,89,4,29,55,0,15,117,0.227457068477505,-0.086791204496679,-1.4141875056426187,0.0641960070247749,0.2730202226293794,1.2384237390633483,0.5073260029857206,0.3662196511571864,0.275856993620032,0.3374101054663252,-0.0671529210557461,-0.0617940928353333,1.3902518023004484,0.8806347786132038
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,3,2,1,1,0,1,1,1,0,0,0,6,4,3,1,3,4,2,0,11,8,0,0,2,4,5,7,4,1,2,25,0,43,50,0,6,121,-0.3420845026208463,-1.9585925941151596,-0.0796712124437942,1.1343385937359975,0.7536139396581475,-0.985878313108169,-1.3534472264837485,0.1288386446312938,-0.3792904511720707,-0.2586105735074273,-0.7606921683599145,-0.7914209816077844,-1.4362314545118935,-0.1728479511425773
0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,3,1,1,2,1,1,3,0,0,0,1,0,3,3,3,4,4,0,11,3,5,0,1,3,4,9,7,1,29,93,0,13,35,0,10,39,-0.8719760998875,0.8424975802867148,0.5639814318156332,-0.0805099525472068,2.024200546460227,-1.2240680562614636,-1.1536539761380968,-1.2036900254400265,-0.975259733162936,-0.9358137509639568,-1.2928875298424207,-1.3075872613092272,-0.7511756968988276,1.5230078958312363
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,3,2,4,4,3,14,10,0,0,0,3,5,8,10,10,29,52,0,30,36,4,13,79,-1.159225008801157,0.8424975802867148,2.2075717064739817,-0.2717970714875812,2.2757306679667,-0.3904405225406273,-0.0988904172073134,0.3662196511571864,-0.965341605319153,-0.4058380243059872,-0.1965241434216742,-0.2426394197797304,0.5553116206553791,1.3802743185527937
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,2,2,4,2,3,14,0,0,0,0,6,5,7,10,10,29,85,0,6,35,4,14,144,-0.4475794679798348,-0.086791204496679,-0.2962074485254473,0.3045360737212922,1.533419190407036,0.1080402493720434,0.1089779481005594,1.0816575490588836,-0.5020548335940057,-0.1992455348027026,0.0813276329229449,0.0291530087356703,0.8426703446699767,-1.2600177856713597
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,1,3,1,1,2,1,3,1,0,0,0,2,0,3,3,2,4,4,3,14,12,0,0,1,5,5,9,11,10,29,7,7,20,55,10,14,116,-1.121789074143322,0.2358247375000559,0.0292531664034513,-0.1285893087012916,0.231612554221733,-0.4991234604283741,-0.4754227728919689,1.6586606349529456,-0.8952535018897538,-0.7196862234835975,-0.1965241434216742,-0.1886175279837015,0.7870032817973309,1.216866653590974
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,2,0,0,1,4,3,3,2,4,0,2,14,5,0,0,1,9,5,5,6,6,29,52,0,44,46,8,13,226,2.1998138601358774,1.3434376506571473,-0.5082940374726675,1.0568435379158336,-0.4672335820764816,1.7065195094544885,0.6372843590501751,2.4610633516491967,2.4698570740852936,1.8150177702865575,1.1817756746809485,1.4137697095824144,1.4904393631822868,0.8055229777918423
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,1,0,3,1,2,5,6,3,14,9,0,0,1,10,4,4,7,10,29,93,0,35,3,0,14,245,1.847594905296168,-1.8287622268195916,-1.8899815619692537,0.7648605807547836,-0.9495923891057144,1.833383716705808,0.6078698701975032,-0.7639735363800764,1.938245421658531,1.1585007769158857,0.7953806096539686,0.7350657602039603,1.4109290793880682,-0.5113754465685347
