cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,B,B,B,D,D,B,C,B,B,C,A,A,A,A,A,D,D,D,E,E,A,P,I,A,A,C,D,E,J,G,B,BI,EG,A,AS,AE,F,K,CK,0.312802,0.681761,0.711159,0.412789,0.302678,0.220686,0.268988,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.724739,611.51
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,D,C,E,E,C,T,I,A,A,C,H,F,G,I,G,BI,CO,A,S,AX,A,P,IE,0.70022,0.785784,0.440642,0.473202,0.281143,0.649687,0.458546,0.62358,0.7628,0.51111,0.682315,0.669033,0.723122,0.676835,313.24
A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,A,G,F,G,K,K,BI,EB,C,K,AE,F,N,HK,0.458463,0.422197,0.61366,0.327354,0.302678,0.697709,0.538939,0.35533,0.38249,0.73971,0.661688,0.648446,0.736269,0.361542,550.11
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,D,T,L,D,A,A,K,F,F,J,K,BI,BT,A,AP,AX,A,P,LW,0.716981,0.422197,0.230975,0.463029,0.281143,0.848535,0.691687,0.68823,0.71934,0.79863,0.81013,0.798279,0.839341,0.357391,586.83
B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,C,D,C,E,C,D,T,I,A,A,B,G,G,G,J,E,BI,CL,A,AI,AN,E,N,HK,0.432682,0.555782,0.692825,0.229617,0.281143,0.611915,0.786509,0.38318,0.39447,0.5,0.711942,0.698722,0.605077,0.342863,586.61
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,A,D,D,C,E,E,D,T,I,A,A,A,E,F,I,J,K,BI,CS,A,AV,AE,F,N,DJ,0.325401,0.827585,0.692825,0.373816,0.422268,0.385129,0.422196,0.32843,0.32128,0.44467,0.396226,0.387819,0.559714,0.313177,539.7
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,K,A,A,A,E,E,H,F,B,BI,CS,A,H,BM,C,K,DJ,0.475784,0.555782,0.462347,0.534409,0.889301,0.3735,0.347485,0.36083,0.44352,0.45017,0.291268,0.295524,0.339244,0.287643,549.0
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,A,A,D,D,A,E,D,A,F,J,A,A,A,C,F,I,K,A,BI,CQ,A,N,AV,C,L,CG,0.06752,0.737068,0.944251,0.189137,0.288217,0.244821,0.497932,0.24123,0.22234,0.19782,0.359572,0.352251,0.268941,0.392786,468.87
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,G,A,P,K,A,A,A,I,E,F,D,B,AB,EB,A,N,AU,E,H,KC,0.772995,0.100099,0.102746,0.844287,0.585792,0.562647,0.393246,0.32843,0.55648,0.76455,0.453334,0.443374,0.307181,0.612839,516.59
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,C,B,A,A,A,A,A,D,D,E,E,G,E,R,K,A,A,A,G,F,F,I,F,BI,CS,A,C,AE,E,N,HK,0.657274,0.737068,0.54977,0.327354,0.422268,0.69097,0.530344,0.33906,0.62542,0.73106,0.622276,0.609277,0.687115,0.770503,339.17
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,C,C,E,C,D,T,A,A,A,A,F,F,H,J,K,BI,DX,A,O,BM,E,O,GS,0.40726,0.299102,0.61366,0.383428,0.805895,0.503587,0.487817,0.70342,0.39447,0.46119,0.4922,0.519456,0.617748,0.496194,513.28
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,J,A,A,A,H,F,G,K,K,BI,BT,A,S,AX,E,P,IE,0.45271,0.488789,0.506105,0.473202,0.281143,0.687443,0.48942,0.54236,0.5042,0.51111,0.711942,0.698722,0.69565,0.673984,482.74
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,A,B,C,B,A,A,A,G,H,D,D,E,E,G,E,R,I,A,A,A,G,F,H,I,F,BI,BT,A,E,AX,C,O,HK,0.682905,0.555782,0.484196,0.432728,0.534484,0.597862,0.475866,0.57187,0.73271,0.75234,0.588753,0.576121,0.768525,0.814573,579.51
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,B,A,A,A,I,H,F,F,D,BI,EG,C,AV,AN,A,K,KP,0.593536,0.422197,0.54977,0.208655,0.281143,0.583647,0.950978,0.2926,0.56682,0.46672,0.771508,0.785706,0.339244,0.303337,402.99
B,B,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,A,A,P,F,G,B,A,K,H,F,F,B,BI,BT,A,U,M,A,J,MD,0.585115,0.422197,0.336963,0.670373,0.585792,0.605191,0.67568,0.45883,0.66201,0.58257,0.880469,0.871011,0.354344,0.297964,583.68
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,K,A,A,A,F,G,I,G,B,BI,V,A,J,BM,C,K,GS,0.475784,0.422197,0.54977,0.383428,0.696981,0.331919,0.33616,0.36083,0.39849,0.39599,0.4922,0.481306,0.351299,0.37749,562.82
A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,B,A,A,D,B,C,E,C,D,T,K,A,A,A,D,D,H,K,K,BI,BC,A,J,AH,C,O,DC,0.3153,0.245921,0.317666,0.327354,0.281143,0.501823,0.372262,0.40603,0.38448,0.38016,0.217678,0.214808,0.614594,0.38189,315.43
