cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,3,3,1,2,1,1,2,0,0,0,0,0,3,3,3,4,4,0,11,8,0,0,2,3,4,9,6,1,29,93,0,19,4,5,9,39,0.312802,0.681761,0.711159,0.412789,0.302678,0.220686,0.268988,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.724739,611.51
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,1,1,2,1,3,1,2,0,0,0,0,3,3,2,4,4,2,14,8,0,0,2,7,5,6,8,6,29,55,0,44,22,0,14,163,0.70022,0.785784,0.440642,0.473202,0.281143,0.649687,0.458546,0.62358,0.7628,0.51111,0.682315,0.669033,0.723122,0.676835,313.24
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,3,2,4,2,3,14,8,0,0,0,6,5,6,10,10,29,89,2,36,4,5,12,148,0.458463,0.422197,0.61366,0.327354,0.302678,0.697709,0.538939,0.35533,0.38249,0.73971,0.661688,0.648446,0.736269,0.361542,550.11
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,3,2,4,0,3,14,11,3,0,0,10,5,5,9,10,29,38,0,16,22,0,14,240,0.716981,0.422197,0.230975,0.463029,0.281143,0.848535,0.691687,0.68823,0.71934,0.79863,0.81013,0.798279,0.839341,0.357391,586.83
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,2,3,2,4,2,3,14,8,0,0,1,6,6,6,9,4,29,52,0,9,13,4,12,148,0.432682,0.555782,0.692825,0.229617,0.281143,0.611915,0.786509,0.38318,0.39447,0.5,0.711942,0.698722,0.605077,0.342863,586.61
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,1,0,3,3,2,4,4,3,14,8,0,0,0,4,5,8,9,10,29,59,0,22,4,5,12,62,0.325401,0.827585,0.692825,0.373816,0.422268,0.385129,0.422196,0.32843,0.32128,0.44467,0.396226,0.387819,0.559714,0.313177,539.7
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,3,3,1,2,1,1,1,0,0,0,0,0,3,3,3,4,2,0,11,10,0,0,0,4,4,7,5,1,29,59,0,33,35,2,9,62,0.475784,0.555782,0.462347,0.534409,0.889301,0.3735,0.347485,0.36083,0.44352,0.45017,0.291268,0.295524,0.339244,0.287643,549.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,3,3,1,0,2,1,1,1,0,0,0,0,0,3,3,0,4,3,0,3,9,0,0,0,2,5,8,10,0,29,57,0,39,20,2,10,36,0.06752,0.737068,0.944251,0.189137,0.288217,0.244821,0.497932,0.24123,0.22234,0.19782,0.359572,0.352251,0.268941,0.392786,468.87
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,3,1,3,4,6,0,11,10,0,0,0,8,4,5,3,1,2,89,0,39,19,4,6,200,0.772995,0.100099,0.102746,0.844287,0.585792,0.562647,0.393246,0.32843,0.55648,0.76455,0.453334,0.443374,0.307181,0.612839,516.59
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,2,1,0,0,0,0,0,3,3,4,4,6,4,12,10,0,0,0,6,5,5,8,5,29,59,0,28,4,4,12,148,0.657274,0.737068,0.54977,0.327354,0.422268,0.69097,0.530344,0.33906,0.62542,0.73106,0.622276,0.609277,0.687115,0.770503,339.17
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,3,1,1,0,1,3,1,0,0,0,6,4,3,2,2,4,2,3,14,0,0,0,0,5,5,7,9,10,29,85,0,40,35,4,13,131,0.40726,0.299102,0.61366,0.383428,0.805895,0.503587,0.487817,0.70342,0.39447,0.46119,0.4922,0.519456,0.617748,0.496194,513.28
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,2,2,4,2,3,14,9,0,0,0,7,5,6,10,10,29,38,0,44,22,4,14,163,0.45271,0.488789,0.506105,0.473202,0.281143,0.687443,0.48942,0.54236,0.5042,0.51111,0.711942,0.698722,0.69565,0.673984,482.74
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,1,1,0,1,2,1,0,0,0,6,4,3,3,4,4,6,4,12,8,0,0,0,6,5,7,8,5,29,38,0,30,22,2,13,148,0.682905,0.555782,0.484196,0.432728,0.534484,0.597862,0.475866,0.57187,0.73271,0.75234,0.588753,0.576121,0.768525,0.814573,579.51
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,3,0,0,2,1,1,1,0,0,0,0,0,2,3,3,4,0,0,11,1,0,0,0,8,7,5,5,3,29,93,2,22,13,0,9,211,0.593536,0.422197,0.54977,0.208655,0.281143,0.583647,0.950978,0.2926,0.56682,0.46672,0.771508,0.785706,0.339244,0.303337,402.99
1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,1,4,3,3,3,4,0,0,11,5,6,1,0,10,7,5,5,1,29,38,0,46,47,0,8,246,0.585115,0.422197,0.336963,0.670373,0.585792,0.605191,0.67568,0.45883,0.66201,0.58257,0.880469,0.871011,0.354344,0.297964,583.68
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,3,1,3,4,2,0,11,10,0,0,0,5,6,8,6,1,29,112,0,35,35,2,9,131,0.475784,0.422197,0.54977,0.383428,0.696981,0.331919,0.33616,0.36083,0.39849,0.39599,0.4922,0.481306,0.351299,0.37749,562.82
