loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
3600.0, 36 months,13.99,123.03,C,C4,10+ years,MORTGAGE,55000.0,Not Verified,debt_consolidation,5.91,675.0,679.0,7.0,0.0,2765.0,29.7,13.0,Fully Paid
24700.0, 36 months,11.99,820.28,C,C1,10+ years,MORTGAGE,65000.0,Not Verified,small_business,16.06,715.0,719.0,22.0,0.0,21470.0,19.2,38.0,Fully Paid
20000.0, 60 months,10.78,432.66,B,B4,10+ years,MORTGAGE,63000.0,Not Verified,home_improvement,10.78,695.0,699.0,6.0,0.0,7869.0,56.2,18.0,Fully Paid
35000.0, 60 months,14.85,829.9,C,C5,10+ years,MORTGAGE,110000.0,Source Verified,debt_consolidation,17.06,785.0,789.0,13.0,0.0,7802.0,11.6,17.0,Current
10400.0, 60 months,22.45,289.91,F,F1,3 years,MORTGAGE,104433.0,Source Verified,major_purchase,25.37,695.0,699.0,12.0,0.0,21929.0,64.5,35.0,Fully Paid
11950.0, 36 months,13.44,405.18,C,C3,4 years,RENT,34000.0,Source Verified,debt_consolidation,10.2,690.0,694.0,5.0,0.0,8822.0,68.4,6.0,Fully Paid
20000.0, 36 months,9.17,637.58,B,B2,10+ years,MORTGAGE,180000.0,Not Verified,debt_consolidation,14.67,680.0,684.0,12.0,0.0,87329.0,84.5,27.0,Fully Paid
20000.0, 36 months,8.49,631.26,B,B1,10+ years,MORTGAGE,85000.0,Not Verified,major_purchase,17.61,705.0,709.0,8.0,0.0,826.0,5.7,15.0,Fully Paid
10000.0, 36 months,6.49,306.45,A,A2,6 years,RENT,85000.0,Not Verified,credit_card,13.07,685.0,689.0,14.0,1.0,10464.0,34.5,23.0,Fully Paid
8000.0, 36 months,11.48,263.74,B,B5,10+ years,MORTGAGE,42000.0,Not Verified,credit_card,34.8,700.0,704.0,8.0,0.0,7034.0,39.1,18.0,Fully Paid
22400.0, 60 months,12.88,508.3,C,C2,6 years,MORTGAGE,95000.0,Not Verified,debt_consolidation,22.98,710.0,714.0,16.0,0.0,13028.0,32.7,35.0,Current
16000.0, 60 months,12.88,363.07,C,C2,1 year,MORTGAGE,70000.0,Not Verified,debt_consolidation,26.4,720.0,724.0,13.0,0.0,28705.0,56.3,29.0,Current
1400.0, 36 months,12.88,47.1,C,C2,3 years,MORTGAGE,64000.0,Not Verified,other,34.95,700.0,704.0,17.0,0.0,37828.0,67.2,24.0,Fully Paid
18000.0, 60 months,19.48,471.7,E,E2,7 years,RENT,150000.0,Not Verified,debt_consolidation,9.39,665.0,669.0,18.0,1.0,14052.0,40.7,27.0,Charged Off
28000.0, 36 months,6.49,858.05,A,A2,10+ years,MORTGAGE,92000.0,Not Verified,debt_consolidation,21.6,720.0,724.0,16.0,0.0,51507.0,64.5,24.0,Fully Paid
9600.0, 36 months,7.49,298.58,A,A4,8 years,MORTGAGE,60000.0,Not Verified,credit_card,22.44,695.0,699.0,7.0,0.0,7722.0,59.4,9.0,Fully Paid
25000.0, 36 months,7.49,777.55,A,A4,10+ years,MORTGAGE,109000.0,Not Verified,debt_consolidation,26.02,745.0,749.0,9.0,0.0,20862.0,54.3,19.0,Fully Paid
18000.0, 60 months,11.99,400.31,C,C1,10+ years,MORTGAGE,112000.0,Not Verified,debt_consolidation,8.68,800.0,804.0,17.0,0.0,10711.0,15.5,27.0,Fully Paid
23000.0, 60 months,8.49,471.77,B,B1,5 years,RENT,64000.0,Not Verified,credit_card,18.28,700.0,704.0,21.0,0.0,24940.0,52.7,33.0,Current
8650.0, 36 months,19.89,320.99,E,E3,8 years,RENT,55000.0,Verified,debt_consolidation,25.49,675.0,679.0,18.0,1.0,9568.0,46.0,19.0,Fully Paid
29900.0, 60 months,12.88,678.49,C,C2,10+ years,MORTGAGE,65000.0,Verified,debt_consolidation,21.77,715.0,719.0,15.0,0.0,31682.0,46.7,31.0,Fully Paid
16000.0, 60 months,14.85,379.39,C,C5,10+ years,MORTGAGE,48000.0,Not Verified,credit_card,33.18,685.0,689.0,11.0,2.0,19108.0,29.6,19.0,Fully Paid
28000.0, 36 months,13.44,949.38,C,C3,2 years,OWN,125000.0,Source Verified,debt_consolidation,7.49,695.0,699.0,6.0,0.0,22780.0,63.1,22.0,Fully Paid
5000.0, 36 months,13.44,169.54,C,C3,2 years,RENT,79000.0,Verified,credit_card,12.7,665.0,669.0,3.0,0.0,9441.0,101.5,5.0,Fully Paid
6000.0, 36 months,7.49,186.61,A,A4,10+ years,MORTGAGE,100000.0,Not Verified,debt_consolidation,13.28,695.0,699.0,9.0,0.0,8563.0,72.0,16.0,Fully Paid
4225.0, 36 months,14.85,146.16,C,C5,5 years,RENT,35000.0,Source Verified,debt_consolidation,15.22,725.0,729.0,6.0,0.0,1058.0,24.6,6.0,Charged Off
20000.0, 36 months,5.32,602.3,A,A1,9 years,OWN,65000.0,Not Verified,debt_consolidation,18.83,835.0,839.0,12.0,0.0,2269.0,3.0,17.0,Fully Paid
16000.0, 60 months,17.97,406.04,D,D4,< 1 year,MORTGAGE,109000.0,Source Verified,debt_consolidation,23.35,680.0,684.0,11.0,0.0,42469.0,87.6,33.0,Fully Paid
17600.0, 36 months,5.32,530.03,A,A1,< 1 year,MORTGAGE,88000.0,Source Verified,credit_card,26.59,780.0,784.0,20.0,0.0,12203.0,34.4,42.0,Fully Paid
15000.0, 36 months,5.32,451.73,A,A1,10+ years,MORTGAGE,44000.0,Source Verified,home_improvement,15.34,685.0,689.0,7.0,0.0,17003.0,50.3,21.0,Fully Paid
16000.0, 36 months,12.88,538.18,C,C2,10+ years,MORTGAGE,65000.0,Not Verified,small_business,18.96,675.0,679.0,7.0,1.0,5157.0,54.3,20.0,Charged Off
24250.0, 60 months,24.24,701.01,F,F3,4 years,MORTGAGE,75000.0,Not Verified,debt_consolidation,20.84,660.0,664.0,18.0,0.0,24799.0,65.3,21.0,Charged Off
12000.0, 36 months,10.78,391.62,B,B4,1 year,RENT,98000.0,Not Verified,debt_consolidation,24.04,690.0,694.0,15.0,1.0,20462.0,62.8,39.0,Fully Paid
25000.0, 60 months,13.99,581.58,C,C4,9 years,MORTGAGE,79000.0,Not Verified,debt_consolidation,34.53,730.0,734.0,33.0,0.0,22519.0,18.6,72.0,Charged Off
16800.0, 60 months,12.88,381.23,C,C2,10+ years,MORTGAGE,118000.0,Not Verified,debt_consolidation,34.29,680.0,684.0,11.0,1.0,7849.0,24.1,46.0,Current
7000.0, 36 months,7.49,217.72,A,A4,10+ years,MORTGAGE,59000.0,Not Verified,credit_card,13.06,730.0,734.0,10.0,0.0,10467.0,24.2,34.0,Fully Paid
21000.0, 60 months,13.99,488.53,C,C4,< 1 year,RENT,52000.0,Source Verified,credit_card,14.47,680.0,684.0,5.0,0.0,20374.0,87.4,15.0,Fully Paid
27500.0, 60 months,14.85,652.06,C,C5,10+ years,MORTGAGE,195000.0,Not Verified,other,6.79,700.0,704.0,14.0,0.0,34974.0,50.9,19.0,Fully Paid
7200.0, 36 months,11.48,237.36,B,B5,10+ years,MORTGAGE,72500.0,Verified,home_improvement,8.47,725.0,729.0,5.0,0.0,5449.0,35.2,7.0,Fully Paid
20000.0, 36 months,14.85,691.84,C,C5,6 years,RENT,110000.0,Not Verified,credit_card,12.45,690.0,694.0,8.0,0.0,21374.0,84.5,12.0,Fully Paid
20000.0, 36 months,15.77,700.88,D,D1,5 years,RENT,70000.0,Not Verified,house,22.21,680.0,684.0,24.0,0.0,19077.0,36.6,63.0,Fully Paid
10000.0, 60 months,17.97,253.78,D,D4,2 years,MORTGAGE,55000.0,Not Verified,credit_card,35.7,685.0,689.0,14.0,0.0,38623.0,78.0,28.0,Charged Off
16000.0, 60 months,13.99,372.21,C,C4,9 years,MORTGAGE,142000.0,Verified,debt_consolidation,17.74,680.0,684.0,15.0,2.0,2273.0,39.9,19.0,Current
20000.0, 36 months,9.8,643.47,B,B3,5 years,RENT,75000.0,Not Verified,debt_consolidation,23.45,725.0,729.0,14.0,0.0,7558.0,9.6,26.0,Fully Paid
8650.0, 36 months,5.32,260.5,A,A1,< 1 year,MORTGAGE,100000.0,Not Verified,credit_card,7.28,750.0,754.0,15.0,0.0,7158.0,26.7,24.0,Fully Paid
21000.0, 60 months,13.44,482.56,C,C3,2 years,RENT,54649.0,Source Verified,debt_consolidation,12.14,670.0,674.0,9.0,1.0,1581.0,26.8,44.0,Fully Paid
7200.0, 36 months,15.77,252.32,D,D1,< 1 year,RENT,55000.0,Not Verified,debt_consolidation,17.35,680.0,684.0,24.0,1.0,5938.0,69.0,43.0,Fully Paid
8800.0, 36 months,9.8,283.13,B,B3,10+ years,MORTGAGE,92000.0,Source Verified,credit_card,5.18,665.0,669.0,9.0,0.0,9195.0,76.6,24.0,Fully Paid
14650.0, 60 months,20.5,392.23,E,E4,2 years,RENT,43160.0,Verified,debt_consolidation,21.44,690.0,694.0,12.0,0.0,11378.0,101.6,24.0,Current
2500.0, 36 months,17.27,89.47,D,D3,10+ years,MORTGAGE,50000.0,Verified,other,17.6,670.0,674.0,7.0,0.0,732.0,31.1,22.0,Fully Paid
11000.0, 36 months,9.17,350.67,B,B2,10+ years,MORTGAGE,69000.0,Not Verified,credit_card,21.34,680.0,684.0,9.0,0.0,8137.0,84.8,18.0,Fully Paid
23850.0, 60 months,17.27,596.21,D,D3,10+ years,OWN,68046.0,Not Verified,debt_consolidation,24.71,665.0,669.0,12.0,0.0,28220.0,91.3,33.0,Current
15700.0, 60 months,16.59,386.74,D,D2,6 years,MORTGAGE,48000.0,Not Verified,credit_card,29.13,685.0,689.0,19.0,0.0,15458.0,64.9,28.0,Current
28800.0, 60 months,11.99,640.5,C,C1,10+ years,OWN,60000.0,Not Verified,debt_consolidation,18.01,800.0,804.0,21.0,0.0,18421.0,10.5,37.0,Current
10000.0, 36 months,12.88,336.37,C,C2,4 years,MORTGAGE,91392.0,Not Verified,house,9.44,710.0,714.0,13.0,0.0,6959.0,41.7,33.0,Fully Paid
24000.0, 60 months,9.8,507.58,B,B3,,OWN,77900.0,Not Verified,home_improvement,10.24,740.0,744.0,9.0,0.0,3454.0,10.3,21.0,Current
28000.0, 60 months,18.49,718.51,D,D5,10+ years,MORTGAGE,75000.0,Verified,debt_consolidation,31.88,685.0,689.0,27.0,0.0,43413.0,51.9,46.0,Fully Paid
35000.0, 60 months,11.99,778.38,C,C1,10+ years,MORTGAGE,128000.0,Source Verified,home_improvement,6.46,685.0,689.0,17.0,0.0,14277.0,27.4,46.0,Fully Paid
7200.0, 36 months,9.17,229.53,B,B2,10+ years,MORTGAGE,50000.0,Not Verified,debt_consolidation,19.25,675.0,679.0,13.0,0.0,9051.0,47.6,25.0,Fully Paid
10000.0, 36 months,7.91,312.95,A,A5,2 years,RENT,40100.0,Not Verified,credit_card,10.81,680.0,684.0,4.0,0.0,6664.0,45.0,7.0,Fully Paid
16000.0, 60 months,13.44,367.67,C,C3,1 year,RENT,42000.0,Not Verified,credit_card,9.6,670.0,674.0,29.0,0.0,11834.0,44.8,48.0,Charged Off
21875.0, 36 months,11.99,726.46,C,C1,< 1 year,RENT,47590.0,Source Verified,credit_card,17.76,700.0,704.0,9.0,0.0,24882.0,57.1,14.0,Fully Paid
14025.0, 60 months,18.49,359.9,D,D5,10+ years,MORTGAGE,39000.0,Verified,debt_consolidation,18.0,675.0,679.0,12.0,0.0,15646.0,74.9,21.0,Fully Paid
35000.0, 60 months,12.88,794.21,C,C2,7 years,MORTGAGE,106000.0,Source Verified,debt_consolidation,17.36,730.0,734.0,8.0,0.0,39055.0,72.1,27.0,Charged Off
20000.0, 36 months,12.88,672.73,C,C2,10+ years,MORTGAGE,145000.0,Not Verified,debt_consolidation,12.28,695.0,699.0,12.0,0.0,22551.0,80.2,21.0,Fully Paid
14000.0, 60 months,14.85,331.96,C,C5,2 years,MORTGAGE,60000.0,Not Verified,debt_consolidation,24.29,690.0,694.0,11.0,0.0,12718.0,73.9,24.0,Charged Off
16000.0, 60 months,8.49,328.19,B,B1,5 years,MORTGAGE,62000.0,Source Verified,credit_card,28.92,720.0,724.0,10.0,0.0,15763.0,51.2,24.0,In Grace Period
28000.0, 60 months,14.85,663.92,C,C5,2 years,MORTGAGE,85000.0,Not Verified,debt_consolidation,28.52,670.0,674.0,19.0,0.0,36814.0,71.8,29.0,Current
20000.0, 60 months,13.99,465.27,C,C4,10+ years,OWN,70000.0,Source Verified,debt_consolidation,16.9,680.0,684.0,20.0,0.0,31200.0,42.0,35.0,Charged Off
17600.0, 60 months,19.89,465.22,E,E3,< 1 year,RENT,44000.0,Verified,credit_card,17.56,680.0,684.0,7.0,0.0,12900.0,102.4,25.0,Current
4200.0, 36 months,13.44,142.41,C,C3,10+ years,MORTGAGE,102500.0,Not Verified,debt_consolidation,26.21,700.0,704.0,14.0,0.0,11947.0,88.5,37.0,Fully Paid
19000.0, 60 months,14.85,450.52,C,C5,9 years,OWN,75000.0,Not Verified,credit_card,13.09,665.0,669.0,15.0,0.0,17771.0,63.7,34.0,Fully Paid
15850.0, 60 months,23.13,448.01,F,F2,10+ years,OWN,45000.0,Not Verified,debt_consolidation,34.85,755.0,759.0,18.0,0.0,8799.0,21.3,24.0,Fully Paid
10000.0, 60 months,11.99,222.4,C,C1,10+ years,RENT,42500.0,Not Verified,debt_consolidation,31.04,705.0,709.0,10.0,0.0,5812.0,40.9,23.0,Current
30000.0, 36 months,15.77,1051.31,D,D1,2 years,MORTGAGE,175000.0,Not Verified,home_improvement,18.5,725.0,729.0,9.0,0.0,21831.0,50.3,23.0,Fully Paid
1500.0, 36 months,6.49,45.97,A,A2,,MORTGAGE,45000.0,Not Verified,vacation,16.11,745.0,749.0,12.0,0.0,3717.0,21.2,37.0,Fully Paid
25000.0, 36 months,5.32,752.87,A,A1,1 year,MORTGAGE,150000.0,Not Verified,credit_card,9.54,795.0,799.0,7.0,0.0,19339.0,42.5,18.0,Fully Paid
16250.0, 60 months,13.44,373.41,C,C3,2 years,MORTGAGE,50000.0,Not Verified,debt_consolidation,34.95,690.0,694.0,15.0,0.0,27336.0,94.9,21.0,Current
20200.0, 60 months,18.49,518.35,D,D5,4 years,RENT,60000.0,Source Verified,debt_consolidation,34.84,720.0,724.0,10.0,1.0,8284.0,40.6,16.0,Charged Off
23975.0, 60 months,19.89,633.73,E,E3,10+ years,RENT,70000.0,Not Verified,credit_card,33.2,685.0,689.0,10.0,0.0,44807.0,94.9,19.0,Charged Off
15000.0, 60 months,10.78,324.5,B,B4,10+ years,MORTGAGE,65000.0,Not Verified,debt_consolidation,29.28,720.0,724.0,18.0,0.0,24723.0,69.8,32.0,Fully Paid
10000.0, 36 months,10.78,326.35,B,B4,3 years,MORTGAGE,41600.0,Not Verified,debt_consolidation,15.78,695.0,699.0,18.0,0.0,12958.0,52.5,33.0,Fully Paid
15000.0, 36 months,8.49,473.45,B,B1,6 years,MORTGAGE,110000.0,Not Verified,credit_card,13.24,670.0,674.0,16.0,1.0,19029.0,41.4,33.0,Fully Paid
23100.0, 60 months,20.5,618.46,E,E4,2 years,OWN,110000.0,Not Verified,car,20.43,660.0,664.0,11.0,0.0,20594.0,94.9,24.0,Charged Off
27300.0, 36 months,17.27,977.0,D,D3,10+ years,MORTGAGE,65000.0,Not Verified,home_improvement,25.63,660.0,664.0,14.0,0.0,31035.0,83.0,38.0,Charged Off
25000.0, 60 months,11.48,549.57,B,B5,10+ years,MORTGAGE,135000.0,Not Verified,credit_card,4.65,705.0,709.0,16.0,0.0,7340.0,13.5,33.0,Fully Paid
15000.0, 36 months,10.78,489.52,B,B4,1 year,RENT,40000.0,Verified,credit_card,10.17,670.0,674.0,7.0,0.0,12272.0,75.3,9.0,Fully Paid
10000.0, 60 months,16.59,246.33,D,D2,< 1 year,RENT,30000.0,Source Verified,debt_consolidation,30.84,715.0,719.0,19.0,1.0,6118.0,26.6,36.0,Fully Paid
18500.0, 60 months,12.88,419.8,C,C2,10+ years,MORTGAGE,70000.0,Source Verified,debt_consolidation,13.2,675.0,679.0,9.0,0.0,15883.0,57.8,19.0,Fully Paid
5000.0, 36 months,7.91,156.48,A,A5,6 years,RENT,32000.0,Source Verified,credit_card,13.73,685.0,689.0,7.0,1.0,5552.0,41.1,10.0,Fully Paid
9000.0, 36 months,9.17,286.92,B,B2,1 year,OWN,50000.0,Not Verified,debt_consolidation,11.98,800.0,804.0,5.0,0.0,7518.0,48.5,11.0,Fully Paid
11000.0, 36 months,6.49,337.09,A,A2,10+ years,MORTGAGE,85000.0,Not Verified,credit_card,15.0,755.0,759.0,12.0,0.0,9488.0,20.1,31.0,Fully Paid
20000.0, 36 months,6.49,612.89,A,A2,6 years,MORTGAGE,55000.0,Not Verified,debt_consolidation,29.15,750.0,754.0,9.0,0.0,4851.0,23.8,23.0,Fully Paid
15000.0, 36 months,5.32,451.73,A,A1,,RENT,80000.0,Not Verified,debt_consolidation,20.18,775.0,779.0,30.0,0.0,41593.0,21.4,47.0,Fully Paid
12000.0, 36 months,5.32,361.38,A,A1,4 years,MORTGAGE,53750.0,Source Verified,debt_consolidation,15.3,700.0,704.0,8.0,0.0,3172.0,17.2,19.0,Fully Paid
8000.0, 36 months,10.78,261.08,B,B4,< 1 year,MORTGAGE,45000.0,Not Verified,debt_consolidation,21.23,670.0,674.0,28.0,0.0,11141.0,35.5,69.0,Fully Paid
12000.0, 36 months,10.78,391.62,B,B4,3 years,RENT,40000.0,Not Verified,credit_card,31.95,665.0,669.0,16.0,0.0,11008.0,41.4,22.0,Fully Paid
18000.0, 36 months,7.49,559.83,A,A4,5 years,MORTGAGE,75000.0,Not Verified,debt_consolidation,25.65,715.0,719.0,12.0,0.0,7758.0,33.2,47.0,Fully Paid
3600.0, 36 months,11.48,118.68,B,B5,< 1 year,MORTGAGE,85000.0,Source Verified,debt_consolidation,17.44,675.0,679.0,12.0,1.0,6952.0,28.7,23.0,Fully Paid
7200.0, 36 months,17.27,257.67,D,D3,9 years,OWN,20000.0,Verified,debt_consolidation,13.21,705.0,709.0,8.0,0.0,7302.0,32.6,17.0,Charged Off
15000.0, 60 months,13.44,344.69,C,C3,4 years,RENT,77213.0,Source Verified,credit_card,18.17,670.0,674.0,17.0,1.0,59237.0,25.8,44.0,Fully Paid
5000.0, 36 months,9.8,160.87,B,B3,6 years,OWN,72000.0,Not Verified,other,6.52,710.0,714.0,11.0,1.0,4838.0,56.3,20.0,Fully Paid
11550.0, 60 months,16.59,284.51,D,D2,5 years,RENT,38000.0,Not Verified,credit_card,21.07,700.0,704.0,9.0,0.0,7179.0,39.7,12.0,Charged Off
33600.0, 36 months,10.78,1096.53,B,B4,8 years,RENT,104000.0,Source Verified,debt_consolidation,14.01,690.0,694.0,14.0,0.0,28475.0,51.8,31.0,Fully Paid
17925.0, 60 months,17.27,448.09,D,D3,10+ years,OWN,39000.0,Source Verified,debt_consolidation,27.78,720.0,724.0,10.0,0.0,19614.0,76.0,21.0,Current
17475.0, 36 months,13.99,597.17,C,C4,2 years,RENT,39750.0,Not Verified,debt_consolidation,23.58,695.0,699.0,7.0,0.0,10987.0,52.3,13.0,Charged Off
9000.0, 36 months,8.49,284.07,B,B1,8 years,MORTGAGE,47000.0,Not Verified,debt_consolidation,8.43,675.0,679.0,12.0,0.0,9747.0,26.7,22.0,Fully Paid
12000.0, 60 months,9.8,253.79,B,B3,10+ years,MORTGAGE,65000.0,Not Verified,debt_consolidation,23.84,785.0,789.0,18.0,0.0,9786.0,13.4,37.0,Fully Paid
4000.0, 36 months,9.17,127.52,B,B2,2 years,RENT,44500.0,Verified,debt_consolidation,15.83,670.0,674.0,4.0,1.0,502.0,4.2,24.0,Fully Paid
10500.0, 36 months,15.77,367.96,D,D1,3 years,RENT,70100.0,Source Verified,credit_card,8.51,660.0,664.0,5.0,0.0,8280.0,77.4,10.0,Fully Paid
14000.0, 36 months,9.8,450.43,B,B3,4 years,MORTGAGE,100000.0,Not Verified,medical,15.97,685.0,689.0,7.0,0.0,34250.0,36.1,14.0,Fully Paid
6000.0, 36 months,7.91,187.77,A,A5,10+ years,MORTGAGE,105000.0,Not Verified,car,14.45,685.0,689.0,9.0,3.0,8353.0,65.3,11.0,Fully Paid
16000.0, 60 months,12.88,363.07,C,C2,10+ years,OWN,90000.0,Not Verified,home_improvement,6.39,700.0,704.0,8.0,0.0,11594.0,43.9,17.0,Current
15000.0, 36 months,9.8,482.61,B,B3,3 years,MORTGAGE,92000.0,Not Verified,debt_consolidation,13.89,680.0,684.0,7.0,2.0,12703.0,35.2,31.0,Fully Paid
12000.0, 36 months,9.17,382.55,B,B2,4 years,MORTGAGE,39400.0,Not Verified,debt_consolidation,26.32,705.0,709.0,18.0,0.0,10495.0,34.6,25.0,Fully Paid
10000.0, 36 months,11.48,329.67,B,B5,2 years,RENT,33000.0,Not Verified,debt_consolidation,21.75,710.0,714.0,12.0,1.0,8052.0,35.6,20.0,Fully Paid
4200.0, 36 months,13.99,143.53,C,C4,2 years,RENT,32000.0,Source Verified,other,31.02,705.0,709.0,10.0,0.0,1294.0,11.7,16.0,Fully Paid
