,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
cont1,1.0,-0.08353658235145432,-0.4436309936218204,0.3675917563889081,-0.021383233638824075,0.7580447004452129,0.3666682994205026,0.36023713017790515,0.9286997487087736,0.810122240422235,0.5971415790713884,0.6151432922993983,0.5313687289153232,0.05219802408318263,-0.010193080807450426
cont2,-0.08353658235145432,1.0,0.45511570911887794,0.04623628884599682,0.1908356637465201,0.016658064321339407,0.04599961427783195,0.14254050563111187,-0.030143279818298303,0.06283233455574075,0.11595659890754288,0.10475923480489693,0.024739544057136933,-0.041951957894097766,0.14336286714014632
cont3,-0.4436309936218204,0.45511570911887794,1.0,-0.33916721679452383,0.08368371173923263,-0.35114138547568513,0.09691835513574382,-0.18313192391225425,-0.41630654864758776,-0.328212152394696,0.023414959397741943,0.004104799909221835,-0.42101136946440293,-0.041329630692726174,0.11123852907606238
cont4,0.3675917563889081,0.04623628884599682,-0.33916721679452383,1.0,0.1775062366263831,0.22539742815567732,-0.11502874924057005,0.5355403879845796,0.33075931746482967,0.2864616162333519,0.12473650628472295,0.13358165241698963,0.18639983160694815,0.01805314966806381,-0.032953812604183244
cont5,-0.021383233638824075,0.1908356637465201,0.08368371173923263,0.1775062366263831,1.0,-0.14613276779782539,-0.2509455203508786,0.014380540026971169,-0.08505197505684992,-0.062161316886262856,-0.1478972956213074,-0.14519860234618392,-0.08271353405003354,-0.025191881830375143,-0.00388672240171214
cont6,0.7580447004452129,0.016658064321339407,-0.35114138547568513,0.22539742815567732,-0.14613276779782539,1.0,0.6563258884877068,0.43768009213645687,0.7970626882389555,0.8836052015912904,0.7734130832880052,0.7848797906594143,0.8134126018185831,0.042128415811316204,0.03876722277013892
cont7,0.3666682994205026,0.04599961427783195,0.09691835513574382,-0.11502874924057005,-0.2509455203508786,0.6563258884877068,1.0,0.14140618353888948,0.3824874621659787,0.48904579339490967,0.7444056360037253,0.7401857791311142,0.28279083949554784,0.01859172529396714,0.11373501272606247
cont8,0.36023713017790515,0.14254050563111187,-0.18313192391225425,0.5355403879845796,0.014380540026971169,0.43768009213645687,0.14140618353888948,1.0,0.4519160708741451,0.3373917697469305,0.30469636253569915,0.31740550646013405,0.47826742670658606,0.043346157827631564,0.03440209317093838
cont9,0.9286997487087736,-0.030143279818298303,-0.41630654864758776,0.33075931746482967,-0.08505197505684992,0.7970626882389555,0.3824874621659787,0.4519160708741451,1.0,0.7871089323424953,0.6098026152869895,0.628503227749006,0.639191174354158,0.07266260557109037,0.016426261816607238
cont10,0.810122240422235,0.06283233455574075,-0.328212152394696,0.2864616162333519,-0.062161316886262856,0.8836052015912904,0.48904579339490967,0.3373917697469305,0.7871089323424953,1.0,0.701342315420572,0.7119604592788636,0.7076438178017476,0.04282046255572239,0.01649606184662125
cont11,0.5971415790713884,0.11595659890754288,0.023414959397741943,0.12473650628472295,-0.1478972956213074,0.7734130832880052,0.7444056360037253,0.30469636253569915,0.6098026152869895,0.701342315420572,1.0,0.9943806709533932,0.46389311770558195,0.04514117712140375,0.09340771789008577
cont12,0.6151432922993983,0.10475923480489693,0.004104799909221835,0.13358165241698963,-0.14519860234618392,0.7848797906594143,0.7401857791311142,0.31740550646013405,0.628503227749006,0.7119604592788636,0.9943806709533932,1.0,0.4761849126559141,0.04808434874213621,0.09258897385467141
cont13,0.5313687289153232,0.024739544057136933,-0.42101136946440293,0.18639983160694815,-0.08271353405003354,0.8134126018185831,0.28279083949554784,0.47826742670658606,0.639191174354158,0.7076438178017476,0.46389311770558195,0.4761849126559141,1.0,0.05201003672519886,-0.005541707698301436
cont14,0.05219802408318263,-0.041951957894097766,-0.041329630692726174,0.01805314966806381,-0.025191881830375143,0.042128415811316204,0.01859172529396714,0.043346157827631564,0.07266260557109037,0.04282046255572239,0.04514117712140375,0.04808434874213621,0.05201003672519886,1.0,0.01818040812837391
loss,-0.010193080807450426,0.14336286714014632,0.11123852907606238,-0.032953812604183244,-0.00388672240171214,0.03876722277013892,0.11373501272606247,0.03440209317093838,0.016426261816607238,0.01649606184662125,0.09340771789008577,0.09258897385467141,-0.005541707698301436,0.01818040812837391,1.0
