,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
count,50000.0,50000,50000.0,50000.0,50000,50000,47011,50000,50000.0,50000,50000,49999.0,50000.0,50000.0,50000.0,50000.0,50000.0,49976.0,50000.0,50000
unique,,2,,,7,35,11,4,,3,12,,,,,,,,,7
top,, 36 months,,,B,C1,10+ years,MORTGAGE,,Source Verified,debt_consolidation,,,,,,,,,Fully Paid
freq,,34177,,,15264,3309,16712,24586,,20677,28283,,,,,,,,,34978
mean,15019.3595,,12.234781999999997,434.0988064,,,,,79193.16761979999,,,19.338815376307526,694.4479,698.44806,12.05142,0.24582,17602.78454,52.15302945413799,25.39828,
std,8676.103295410194,,4.191337990517946,247.49401674048963,,,,,101321.24840410908,,,9.810057275655675,30.895837529439675,30.896619786939237,5.7092510800067195,0.6685218515720489,23428.68632200219,24.168474647983434,12.112984253657336,
min,1000.0,,5.32,14.77,,,,,0.0,,,0.0,660.0,664.0,1.0,0.0,0.0,0.0,4.0,
25%,8000.0,,9.17,255.04,,,,,48000.0,,,12.68,670.0,674.0,8.0,0.0,6240.0,34.075,17.0,
50%,14000.0,,11.99,378.15,,,,,66000.0,,,18.82,685.0,689.0,11.0,0.0,11828.0,52.0,24.0,
75%,20000.0,,14.48,573.7025000000001,,,,,95000.0,,,25.615000000000002,710.0,714.0,15.0,0.0,21333.25,70.5,32.0,
max,35000.0,,28.99,1354.66,,,,,9000000.0,,,999.0,845.0,850.0,67.0,26.0,898146.0,145.8,127.0,
